Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
ZNF22	10q11.21	0.6154084984538967	6.866860948752407e-55	1.384427835877973e-50
SUV39H2	10p13	0.5715179995391186	6.61965866572432e-46	6.672946917983401e-42
SHFL	19p13.2	-0.5382467097945208	6.048928690292696e-40	4.065081710833034e-36
RPS8	1p34.1	0.5372403784700063	8.948696932594525e-40	4.510366971450956e-36
MARC2	1q41	-0.5346273456928813	2.4588192813948185e-39	9.914451106440187e-36
EPB41	1p35.3	0.5312027557289941	9.125437595151107e-39	3.0662991225973576e-35
CHD7	8q12.2	0.5296938655808046	1.618568189668972e-38	4.661707610273735e-35
RPL5	1p22.1	0.527778286505707	3.336484715523303e-38	8.408358543708163e-35
YBX1	1p34.2	0.526787628787632	4.84142926595483e-38	1.0845339492323924e-34
ZNF560	19p13.2	0.5247296070324101	1.0451087193241895e-37	2.1070436890294982e-34
SOX4	6p22.3	0.5202531911231998	5.472719086196187e-37	1.0030499045163758e-33
SHLD2P1	10q11.22	0.5166702901104909	2.0233229598829553e-36	3.399351182850022e-33
KDM1A	1p36.12	0.5138426234885586	5.616768813516703e-36	8.393567671345252e-33
DDX50	10q22.1	0.5137396082350743	5.828577322495587e-36	8.393567671345252e-33
ZFP69	1p34.2	0.5129022030928732	7.871184880688498e-36	1.0579397225304054e-32
PABPC1	8q22.3	0.5121622448576079	1.025730732264779e-35	1.2924848308243882e-32
ZNF572	8q24.13	0.5105843512739642	1.800141545979543e-35	2.1348619828525627e-32
ACSL3	2q36.1	-0.5102176366063547	2.0506667329869787e-35	2.2968606668750268e-32
RELL2	5q31.3	-0.5080037494413503	4.4881646691268854e-35	4.7624151523298497e-32
SHLD2P3	10q11.22	0.5054353423508141	1.1056207495294825e-34	1.1145209965631948e-31
CDC123	10p14-p13	0.5051642856027218	1.215439550933893e-34	1.1668798469703912e-31
ARSF	Xp22.33	-0.5031689147295557	2.434206551109996e-34	2.2307290125876653e-31
THAP12	11q13.5	0.502455583634391	3.116765263422916e-34	2.732048020689974e-31
CHD4	12p13.31	0.5022763408588667	3.3161788503475286e-34	2.785728408410688e-31
ELOA	1p36.11	0.5011374027099282	4.91369108486634e-34	3.962597038479611e-31
MAP1LC3A	20q11.22	-0.5001975791271437	6.789532280596162e-34	5.264760011888432e-31
