Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
NOXA1	9q34.3	0.7632225577985484	3.544766386386768e-99	7.146603511594363e-95
ARMC5	16p11.2	0.7174806104705551	1.955042191108172e-82	1.9707802807465928e-78
STUB1	16p13.3	0.7110171477739218	2.4589961738906075e-80	1.652527395393618e-76
ARFRP1	20q13.33	0.70519325904703	1.7122028446789848e-78	8.629930387893254e-75
TMEM175	4p16.3	0.7035258645293576	5.66049015363517e-78	2.282422839748773e-74
ADCK5	8q24.3	0.6993367783479707	1.1005957935981302e-76	3.6981852991219834e-73
RAB11B	19p13.2	0.693925228999362	4.716809290267451e-75	1.3585084585868871e-71
FBXL15	10q24.32	0.6917132971953637	2.1395824549733306e-74	5.392015234339665e-71
NDC1	1p32.3	-0.6875955392870627	3.444571238930798e-73	7.716222305342646e-70
CTTNBP2NL	1p13.2	-0.6792004314110917	8.633959314097602e-71	1.7406925373152172e-67
MVD	16q24.2	0.6759896061029742	6.803023618293666e-70	1.2468705378947147e-66
ASPSCR1	17q25.3	0.6752969359008778	1.0583040955335289e-69	1.6827841528392306e-66
WDR3	1p12	-0.6751940168000242	1.1300041340045583e-69	1.6827841528392306e-66
PCSK4	19p13.3	0.6751413496530797	1.168542142738417e-69	1.6827841528392306e-66
MAN1A2	1p12	-0.6735947382338972	3.1188240925829633e-69	4.191907502037675e-66
ZNF653	19p13.2	0.672238735935453	7.339430712394941e-69	9.248141412037151e-66
FAM173A	16p13.3	0.6715943586946419	1.100497431379618e-68	1.3051252184732045e-65
TCEA2	20q13.33	0.6709651513366414	1.6328467140626195e-68	1.8288790334564704e-65
RB1	13q14.2	-0.6661516302658397	3.235902434825433e-67	3.433633104658714e-64
SPSB3	16p13.3	0.6610210163133845	7.346124384142615e-66	7.405260685434963e-63
VPS9D1	16q24.3	0.6607512151276487	8.642285640801461e-66	8.29700575258087e-63
ATF6	1q23.3	-0.659437968196908	1.90144614223969e-65	1.742502530622472e-62
SH2B1	16p11.2	0.6576836926916163	5.4183046208306436e-65	4.749497367850722e-62
CCDC85B	11q13.1	0.6571691275965457	7.356671279338171e-65	6.179910402614036e-62
NPDC1	9q34.3	0.6570433065124848	7.927169895157482e-65	6.3927868902508e-62
SCYL2	12q23.1	-0.6568448181514316	8.917784949274943e-65	6.915056244705081e-62
ATG4B	2q37.3	0.6556555359965939	1.8024162881144417e-64	1.3458709179509354e-61
RAB24	5q35.3	0.6554059269539367	2.0884250028568476e-64	1.503740588664175e-61
IDE	10q23.33	-0.6548523917048359	2.8936682341733036e-64	2.01169811272993e-61
GLI4	8q24.3	0.6517881534708286	1.738239682998772e-63	1.1681550082979414e-60
EYA3	1p35.3	-0.6511576499583241	2.507316329437679e-63	1.630645307025582e-60
CTNND1	11q12.1	-0.6504733150753889	3.727892351409592e-63	2.3486886780240246e-60
MAP3K2	2q14.3	-0.6501655458328991	4.4543770914453706e-63	2.721354440625155e-60
BAIAP2L2	22q13.1	0.6496746632804162	5.914662510549311e-63	3.507220908093667e-60
CEMP1	16p13.3	0.6488697219355793	9.405132273663578e-63	5.417624907695183e-60
DPY19L3	19q13.11	-0.648154738905491	1.4183265275953688e-62	7.943022534125063e-60
FASTK	7q36.1	0.6478852902419436	1.6553424366466495e-62	9.019826720333271e-60
ARCN1	11q23.3	-0.646681737777257	3.2947918502527714e-62	1.748060486656477e-59
CNOT1	16q21	-0.6466242987747151	3.4045600266883338e-62	1.759982940975987e-59
ACTR3	2q14.1	-0.6448782699583762	9.188725525218033e-62	4.631347382848019e-59
ANKRD36BP1	1q24.2	-0.6436662470231704	1.8235564430302955e-61	8.967005231203362e-59
MOB1A	2p13.1	-0.6435065980844971	1.9953880280809065e-61	9.57833762717599e-59
B4GALNT4	11p15.5	0.6433578894647789	2.169874207991685e-61	1.0173682304027991e-58
RNF126	19p13.3	0.6429793964088691	2.6853873784618126e-61	1.2304567031174684e-58
HAGHL	16p13.3	0.6421975190327445	4.167024479588852e-61	1.8669195673997967e-58
TUBG2	17q21.2	0.6417936928394934	5.225924751484343e-61	2.2904319329277354e-58
NDUFV1	11q13.2	0.6403805908308356	1.1510933607292021e-60	4.937700690566264e-58
NEIL1	15q24.2	0.6402870978082373	1.2126541320307263e-60	5.093399990806557e-58
ANAPC2	9q34.3	0.6402390098858713	1.2455802879197307e-60	5.124927384642793e-58
ANKRD17	4q13.3	-0.6394925838515537	1.886694836386696e-60	7.607530919278435e-58
RNF208	9q34.3	0.6393072767925881	2.0911866678652788e-60	8.266747923692526e-58
PEX16	11p11.2	0.6374841628519439	5.733842158197044e-60	2.2230767644502042e-57
HDAC10	22q13.33	0.6354669633052474	1.736603698616216e-59	6.605974937321044e-57
REX1BD	19p13.11	0.6352714357386794	1.9326735847125593e-59	7.21567261877591e-57
RAB8B	15q22.2	-0.6350083931641582	2.23154255370258e-59	8.180023531854129e-57
RSC1A1	1p36.21	-0.6337593760887182	4.408578272483441e-59	1.5871669027060475e-56
RHOT2	16p13.3	0.6328635043844739	7.170544146028958e-59	2.536234044352453e-56
HEXD	17q25.3	0.6327067400913854	7.8063291852551625e-59	2.7135069431711954e-56
TNPO1	5q13.2	-0.6324554944915116	8.944037866482962e-59	3.010066661834422e-56
CDK10	16q24.3	0.6324525945970666	8.958087382077543e-59	3.010066661834422e-56
TRIP12	2q36.3	-0.6313985447165942	1.583090956992677e-58	5.160378111588754e-56
ATL3	11q13.1	-0.6313940379640879	1.586942328845309e-58	5.160378111588754e-56
CIAO3	16p13.3	0.6308970580405666	2.0740740553255672e-58	6.637366195145835e-56
STK25	2q37.3	0.6307058000956095	2.298849710302719e-58	7.241735782720799e-56
GET4	7p22.3	0.630447885040696	2.6407140456719222e-58	8.1188356584430825e-56
E4F1	16p13.3	0.6304358670340117	2.6578203137604458e-58	8.1188356584430825e-56
LEPROT	1p31.3	-0.6301834005259204	3.0437345182442145e-58	9.158915167510688e-56
D2HGDH	2q37.3	0.6299103443446114	3.523941345260452e-58	1.029671061048429e-55
CREB1	2q33.3	-0.6299075444100724	3.529236194645771e-58	1.029671061048429e-55
RC3H2	9q33.2	-0.6298834805649618	3.575069404959577e-58	1.029671061048429e-55
RRAGC	1p34.3	-0.6295749889374688	4.2177349789499225e-58	1.1976585198677379e-55
METTL26	16p13.3	0.6288461321790743	6.2285013074976185e-58	1.7440668730619376e-55
ZMYM4	1p34.3	-0.6279848703012934	9.859693001302842e-58	2.7230311040995424e-55
ABHD17A	19p13.3	0.6279355914372585	1.0121807508438119e-57	2.7576454213192016e-55
KDM5A	12p13.33	-0.6274436761952973	1.3148937692968294e-57	3.5346097710391175e-55
CSNK1G1	15q22.31	-0.6263522909149528	2.3457102576126945e-57	6.2226137504907286e-55
ANKS3	16p13.3	0.6262722462913737	2.4472147657003416e-57	6.407571024842155e-55
SUGP1	19p13.11	0.6249235785117152	4.9871179803764337e-57	1.2890421231072986e-54
PPP4R2	3p13	-0.6245559688954551	6.051460942912915e-57	1.5443481527856617e-54
ZNF585A	19q13.12	-0.6235200481674646	1.0423145446809435e-56	2.5991236069960695e-54
GGTLC2	22q11.22	0.6235165272342189	1.0442389373874392e-56	2.5991236069960695e-54
REST	4q12	-0.6231137197255027	1.2893754580546955e-56	3.1701339768098436e-54
ZSCAN20	1p35.1	-0.6226444872585932	1.647753717989141e-56	4.0024533383589246e-54
MBLAC1	7q22.1	0.6218097660001314	2.546372258440588e-56	6.111596559811987e-54
CLTB	5q35.2	0.6211245766055054	3.6363228649752726e-56	8.62493003303135e-54
C1ORF35	1q42.13	0.6208508881284852	4.191447988354338e-56	9.826021266652537e-54
SLC35A3	1p21.2	-0.6202634333868501	5.683249905957913e-56	1.317011509816293e-53
CRIP3	6p21.1	0.620163475819615	5.985062588337729e-56	1.3711914414031473e-53
PCSK1N	Xp11.23	0.6198632023878722	6.990783411654951e-56	1.5836088130603984e-53
WDR13	Xp11.23	0.6198185599034038	7.153995209231382e-56	1.6025744157034876e-53
FAM3A	Xq28	0.6191430193417674	1.0139558081538798e-55	2.2464135217791615e-53
STK4	20q13.12	-0.6191049328638567	1.0340649704865663e-55	2.2660634641282246e-53
MYH7B	20q11.22	0.6185368032676608	1.3855797669202011e-55	3.003728352782599e-53
ATF7IP	12p13.1	-0.6184682877823987	1.4352912487688032e-55	3.078394347492323e-53
EXD3	9q34.3	0.6180040344271713	1.8220876488537237e-55	3.8668535882673603e-53
PAXX	9q34.3	0.6172938232526782	2.622802385019841e-55	5.508158217123439e-53
ZNF644	1p22.2	-0.6159359652326134	5.2492770985866135e-55	1.0823978850716644e-52
KCTD20	6p21.31	-0.6159314415104805	5.261395403850162e-55	1.0823978850716644e-52
CYB5RL	1p32.3	-0.6154470267694471	6.733556392807952e-55	1.3712649538929406e-52
MGA	15q15.1	-0.6152986574074988	7.261457394729385e-55	1.4639824253513914e-52
ZNF420	19q13.12	-0.6148711344932032	9.02358320501243e-55	1.80123228709164e-52
ADAM9	8p11.22	-0.6145957807517926	1.0377043141213648e-54	2.051093791862827e-52
MFAP3	5q33.2	-0.6145579593778121	1.0578051648068629e-54	2.0705252356962293e-52
UBXN6	19p13.3	0.6142872007566031	1.2134472715156579e-54	2.3523375424064593e-52
ZNF688	16p11.2	0.6142438699714392	1.2403836889937497e-54	2.3816548146479035e-52
NRAS	1p13.2	-0.6136281544782206	1.6938977169012797e-54	3.221761497211953e-52
AP1G1	16q22.2	-0.6126373758682403	2.7927358868442767e-54	5.262088618193221e-52
SPG7	16q24.3	0.6125581235773221	2.906470091001676e-54	5.425679954137481e-52
SRP72	4q12	-0.6123572160161365	3.215816391946154e-54	5.948080208993249e-52
UCN	2p23.3	0.6102826823141138	9.099498899382863e-54	1.6677727028223445e-51
ADAMTS13	9q34.2	0.609814925123067	1.1492368977823344e-53	2.0873662248819498e-51
RHBDL1	16p13.3	0.6097711696414545	1.17458770536698e-53	2.114362743562829e-51
DICER1-AS1	14q32.13	0.6095353297260617	1.3210966552983974e-53	2.357046873227521e-51
DRD4	11p15.5	0.6087166030025271	1.9852764256931737e-53	3.510978773543866e-51
SLC25A28	10q24.2	0.6086763515160116	2.0253684929127696e-53	3.550735146575161e-51
PRKDC	8q11.21	-0.6085280128910798	2.180183101040502e-53	3.789195818972203e-51
RPEL1	10q24.33	-0.6072961806221608	4.0131363711996943e-53	6.877421433659339e-51
PDS5A	4p14	-0.607290069834782	4.025275180654739e-53	6.877421433659339e-51
GNPTG	16p13.3	0.606670506537797	5.465561851936672e-53	9.259764075369348e-51
LZIC	1p36.22	-0.6063484812431499	6.405664735021249e-53	1.0762050560230282e-50
LIME1	20q13.33	0.6061268858494824	7.144154957346132e-53	1.1903579181409534e-50
RBM12	20q11.22	-0.6058940503553175	8.0112634424652165e-53	1.3238941169142724e-50
ZNF414	19p13.2	0.6047867013686604	1.3795824046660537e-52	2.2612813707701064e-50
TBC1D10B	16p11.2	0.6046783759316079	1.4547520810258112e-52	2.3652626375452725e-50
DOHH	19p13.3	0.6045704656160186	1.533674648559316e-52	2.4736331671683495e-50
DR1	1p22.1	-0.6045301699465446	1.5642234406928788e-52	2.5028816498261213e-50
COPB2	3q23	-0.6042414726830043	1.801485256411046e-52	2.8598223822443384e-50
PSMD11	17q11.2	-0.6035766825043669	2.4924304845545602e-52	3.9257727343050383e-50
OXLD1	17q25.3	0.6033745855831197	2.7505476324957208e-52	4.298743474321413e-50
CDK12	17q12	-0.6027489556097909	3.730001711047862e-52	5.78465880741815e-50
REEP3	10q21.3	-0.6018726882182218	5.708279258123986e-52	8.78508535290364e-50
DDX21	10q22.1	-0.6014969487739089	6.848097383552999e-52	1.0459431162864545e-49
THAP7	22q11.21	0.6011621368537725	8.052564209056098e-52	1.2206597520209022e-49
ZNF585B	19q13.12	-0.6011132695166859	8.24512480068446e-52	1.2405220978104432e-49
CCDC154	16p13.3	0.6004339119179044	1.1447000049182187e-51	1.7095034666041637e-49
NDUFS7	19p13.3	0.5999703658924187	1.431278647038208e-51	2.1217653531571555e-49
PTAR1	9q21.12	-0.5996672072560486	1.6561424092731828e-51	2.4371888403909956e-49
WASH3P	15q26.3	0.5994108525693236	1.8734162971725952e-51	2.7369526063258472e-49
DNPH1	6p21.1	0.5986585032292538	2.688281503517777e-51	3.899168589382871e-49
LRIG2	1p13.2	-0.5985435236309573	2.840584413537004e-51	4.090644454379967e-49
OGFR	20q13.33	0.5982130858466339	3.3276245830378364e-51	4.75803115025715e-49
FN3K	17q25.3	0.598166900509683	3.401996741481405e-51	4.830116641197649e-49
USE1	19p13.11	0.5973309421034743	5.072449363406562e-51	7.151444168925852e-49
FBXW5	9q34.3	0.5970462345761642	5.810131073791609e-51	8.13458698463282e-49
ZGPAT	20q13.33	0.5966989363401326	6.85548276429243e-51	9.531957793855151e-49
KPNB1	17q21.32	-0.5959795480915682	9.651460291853412e-51	1.3327608968771003e-48
ANAPC15	11q13.4	0.5957965827725098	1.0527273841698102e-50	1.4438120266835064e-48
TSR3	16p13.3	0.5953290603133818	1.3140065242908883e-50	1.7899787524478782e-48
SLAIN2	4p11	-0.5949805954476188	1.5497363202309557e-50	2.0969284531661947e-48
LOC284441	19p12	-0.594556373177664	1.893996829908985e-50	2.5408653516007077e-48
LRRC45	17q25.3	0.5945462992602955	1.903033917423277e-50	2.5408653516007077e-48
ERAS	Xp11.23	0.5941161384402824	2.331590825352758e-50	3.0925791203905897e-48
SIKE1	1p13.2	-0.5939976242344873	2.465645899164044e-50	3.249012220460542e-48
LIMS1	2q12.3	-0.5935573142298869	3.0341899224757514e-50	3.953058692123352e-48
GTPBP6	Xp22.33 and Yp11.31	0.5935538416640869	3.0391552863405563e-50	3.953058692123352e-48
MFSD3	8q24.3	0.5932426106380132	3.518549679111793e-50	4.547274364139286e-48
CBL	11q23.3	-0.5930381277889667	3.8736388453557744e-50	4.9742950803323423e-48
ATP5F1D	19p13.3	0.5928400074140489	4.2515459394165873e-50	5.4250264357327737e-48
MED1	17q12	-0.5924833553921186	5.026358831091053e-50	6.37335977318407e-48
RRP1	21q22.3	0.5924515561098765	5.10189656086289e-50	6.428708535222295e-48
SP1	12q13.13	-0.5923594589572584	5.327085260295932e-50	6.670768070361882e-48
SCAND1	20q11.23	0.5915515180355143	7.776595265275839e-50	9.678020811310258e-48
RPS19BP1	22q13.1	0.5914423969967878	8.183600596016534e-50	1.0070794778088807e-47
NHLRC2	10q25.3	-0.5914401747382829	8.192105270604456e-50	1.0070794778088807e-47
PMVK	1q21.3	0.5913585932993255	8.510467643690295e-50	1.0398759888753941e-47
RALGAPB	20q11.23	-0.591120650207757	9.510860504798722e-50	1.1551111966099218e-47
LKAAEAR1	20q13.33	0.5905570029506925	1.2370720099482591e-49	1.4924923532498316e-47
C11ORF68	11q13.1	0.5905455662743617	1.2436819371359144e-49	1.4924923532498316e-47
H1FX-AS1	3q21.3	0.59031064074359	1.387486782388815e-49	1.6552142615231301e-47
KIAA1958	9q32	-0.5901916405969067	1.4665090252824295e-49	1.73919343874818e-47
NUFIP2	17q11.2	-0.5899858191939498	1.6138679284582927e-49	1.90275972547647e-47
NDUFB10	16p13.3	0.5897964602506962	1.762377314552329e-49	2.0657726185284599e-47
PRR22	19p13.3	0.5894784249049863	2.0429246877456473e-49	2.3807748340832366e-47
SGSM3	22q13.1	0.5891130114584188	2.4203329897243108e-49	2.804386977346657e-47
NLN	5q12.3	-0.5886934416367811	2.93963705790134e-49	3.386629869962795e-47
RBM27	5q32	-0.5886543831150539	2.9932715730993635e-49	3.4288266014350156e-47
PPP1R16A	8q24.3	0.5886370318668719	3.0174085058699017e-49	3.4369476207255983e-47
DFFA	1p36.22	-0.5884546721216047	3.2830670877261256e-49	3.7185345817778887e-47
LAT	16p11.2	0.5883485425184479	3.448228686221298e-49	3.8837842761400894e-47
LPP	3q27.3-q28	-0.5874157331171859	5.3041289632784776e-49	5.940919112703188e-47
TMED5	1p22.1	-0.5866724724243083	7.467857001764465e-49	8.318202486882506e-47
ZNF845	19q13.42	-0.5863314614846079	8.734491677553424e-49	9.67560915995355e-47
ACD	16q22.1	0.586154902827567	9.471845114573436e-49	1.0435074828137434e-46
MRPL55	1q42.13	0.5860920733955571	9.748873240682721e-49	1.0681903989424148e-46
UBALD1	16p13.3	0.5855346499678225	1.258667504410026e-48	1.3716754354816505e-46
MZT2B	2q21.1	0.585164547727042	1.4909474663092134e-48	1.6160748316268847e-46
MIGA2	9q34.11	0.5844922646232519	2.0268679947345623e-48	2.1852238311146263e-46
DDI2	1p36.21	-0.5842756883075988	2.237290016857421e-48	2.399255533503323e-46
ADNP	20q13.13	-0.5840623557811566	2.4657278430579177e-48	2.630240161052417e-46
DENND4A	15q22.31	-0.5838819973131806	2.6768091589343628e-48	2.8403762870145098e-46
ZNF570	19q13.12	-0.5834599531960494	3.2434298032692004e-48	3.4236014797754112e-46
CLCN7	16p13.3	0.5832839247451865	3.5135653231191614e-48	3.689426587469032e-46
SELENOO	22q13.33	0.583145982771392	3.7407567028685423e-48	3.9076370925664605e-46
HRAS	11p15.5	0.583037378872742	3.9298349352510844e-48	4.083989800494696e-46
GAMT	19p13.3	0.5830091012099524	3.9806029746132987e-48	4.1155352087783954e-46
CDK9	9q34.11	0.5829098642871008	4.1639714780976065e-48	4.283154539281931e-46
NDUFAF8	17q25.3	0.58288980482006	4.20204313446005e-48	4.300375209840054e-46
LCN12	9q34.3	0.5826672065932896	4.6484218720778534e-48	4.733173402169778e-46
SEC31A	4q21.22	-0.5825554785111958	4.8898981592391696e-48	4.9540319994181354e-46
PRPF40B	12q13.12	0.5823485526807328	5.370464263483851e-48	5.413696500804896e-46
PCED1A	20p13	0.5822040714974184	5.733512701685406e-48	5.750912914362163e-46
RESF1	12p11.21	-0.5820678085098535	6.098187818816998e-48	6.086414089859876e-46
COX5B	2q11.2	0.5814577436262148	8.034213115324858e-48	7.979200523057362e-46
RABL6	9q34.3	0.5813074044839099	8.598306038769261e-48	8.497570982726819e-46
NRIP1	21q11.2-q21.1	-0.5810461710629014	9.673498943001895e-48	9.513532301944449e-46
